1, 33, 174, 210
2, 47, 156, 262
3, 82, 148, 137
4, 22, 160, 416
5, 51, 145, 310
6, 64, 174, 206
7, 69, 155, 298
8, 71, 160, 285
9, 57, 159, 248
10, 30, 160, 280
11, 74, 179, 107
12, 68, 178, 166
13, 20, 179, 282
14, 68, 179, 159
15, 52, 152, 160
16, 82, 147, 207
17, 78, 179, 146
18, 88, 159, 180
19, 23, 153, 337
20, 33, 173, 158
21, 11, 153, 212
22, 16, 167, 449
23, 23, 160, 401
24, 51, 166, 374
25, 35, 171, 336
26, 37, 184, 184
27, 82, 169, 258
28, 74, 157, 135
29, 38, 164, 332
30, 80, 162, 82
31, 50, 163, 269
32, 58, 172, 241
33, 67, 158, 91
34, 46, 153, 288
35, 39, 164, 208
36, 65, 169, 97
37, 57, 147, 363
38, 42, 175, 182
39, 90, 159, 231
40, 43, 156, 362
41, 56, 149, 286
42, 61, 175, 239
43, 81, 180, 191
44, 15, 166, 426
45, 76, 160, 273
46, 68, 147, 87
47, 46, 166, 171
48, 82, 158, 87
49, 76, 162, 104
50, 30, 177, 276
51, 16, 145, 235
52, 40, 174, 303
53, 11, 162, 436
54, 64, 176, 210
55, 82, 167, 224
56, 54, 174, 183
57, 22, 153, 330
58, 38, 168, 393
59, 39, 175, 238
60, 68, 177, 292
61, 30, 162, 388
62, 76, 166, 122
63, 56, 148, 399
64, 53, 157, 211
65, 49, 150, 349
66, 76, 157, 146
67, 23, 158, 411
68, 82, 156, 105
69, 39, 180, 283
70, 62, 171, 264
71, 45, 152, 372
72, 78, 177, 115
73, 41, 169, 280
74, 66, 152, 93
75, 17, 140, 272
76, 83, 149, 253
77, 81, 152, 166
78, 59, 160, 309
79, 20, 177, 239
80, 87, 153, 158
81, 42, 155, 219
82, 40, 166, 151
83, 41, 174, 303
84, 40, 170, 250
85, 47, 150, 211
86, 10, 160, 408
87, 72, 162, 71
88, 70, 147, 91
89, 15, 168, 216
90, 60, 146, 180
91, 15, 165, 249
92, 29, 177, 376
93, 20, 156, 476
94, 89, 179, 235
95, 64, 153, 339
96, 64, 154, 228
97, 21, 169, 287
98, 43, 164, 315
99, 24, 179, 364
100, 25, 178, 217
