1,      40,     162,    286
2,	25,	153,	375
3,	58,	191,	309
4,	88,	161,	235
5,	66,	176,	278
6,	32,	185,	384
7,	55,	187,	102
8,	23,	159,	500
9,	27,	192,	60
10,	16,	139,	119
11,	27,	195,	323
12,	49,	185,	140
13,	38,	153,	456
14,	32,	182,	463
15,	74,	144,	51
16,	62,	178,	414
17,	84,	194,	71
18,	90,	190,	223
19,	34,	173,	415
20,	49,	184,	352
21,	68,	189,	369
22,	23,	168,	471
23,	39,	179,	416
24,	12,	165,	493
25,	12,	185,	404
26,	79,	144,	395
27,	85,	195,	126
28,	36,	186,	374
29,	87,	184,	85
30,	51,	139,	223
31,	33,	152,	95
32,	62,	149,	470
33,	44,	156,	137
34,	18,	141,	340
35,	88,	161,	340
36,	64,	147,	340
37,	47,	180,	265
38,	62,	143,	247
39,	17,	141,	173
40,	45,	152,	103
41,	60,	162,	200
42,	19,	192,	149
43,	21,	148,	418
44,	63,	148,	494
45,	59,	182,	342
46,	78,	167,	378
47,	87,	181,	90
48,	73,	148,	103
49,	53,	165,	500
50,	21,	139,	125
51,	39,	146,	241
52,	26,	141,	409
53,	12,	144,	209
54,	41,	159,	384
55,	76,	167,	423
56,	10,	183,	96
57,	35,	148,	286
58,	26,	184,	229
59,	41,	140,	99
60,	64,	191,	169
61,	86,	172,	218
62,	56,	171,	125
63,	84,	179,	286
64,	53,	187,	446
65,	47,	192,	284
66,	36,	172,	318
67,	21,	146,	140
68,	85,	178,	128
69,	49,	176,	320
70,	89,	170,	80
71,	51,	148,	305
72,	59,	190,	204
73,	30,	168,	384
74,	71,	165,	324
75,	75,	138,	478
76,	80,	170,	296
77,	77,	174,	110
78,	84,	165,	347
79,	88,	175,	361
80,	14,	150,	357
81,	31,	162,	175
82,	72,	146,	235
83,	79,	145,	478
84,	87,	143,	229
85,	74,	189,	391
86,	36,	145,	63
87,	27,	145,	97
88,	12,	143,	480
89,	63,	176,	342
90,	81,	193,	141
91,	13,	164,	250
92,	82,	163,	85
93,	63,	151,	275
94,	56,	154,	445
95,	53,	158,	102
96,	27,	147,	106
97,	78,	149,	415
98,	40,	140,	64
99,	49,	170,	342
100,	44,	140,	453
101,	87,	191,	218
102,	32,	161,	87
103,	28,	157,	262
104,	64,	191,	173
105,	11,	161,	68
106,	33,	156,	475
107,	15,	148,	438
108,	40,	141,	84
